isolate.id,guuid,short.read.accession,long.read.accession,genome.assembly.accession
OXEC-128,5c771cc5-8ec6-4f6c-bca7-da2db6c56801,SRR25740733,SRR30896433,CP163909-CP163918
OXEC-129,3c079c92-435e-4f79-94d9-a9d651653283,SRR25740743,SRR30896432,CP163901-CP163908
OXEC-13,9db8738b-a10e-488e-9f10-462d5658f7a4,SRR25738216,SRR30896441,CP163799-CP163803
OXEC-130,11c0ca61-3084-4173-b383-c168687a362e,SRR25740741,SRR30896431,CP163898-CP163900
OXEC-131,2bca19f6-e0c3-44b9-8d8b-29a8fe8c5d7d,SRR25740748,SRR30896429,CP163893-CP163897
OXEC-132,6bd75e35-9437-4ba2-bad6-9b8c9a4822ba,SRR25740922,SRR30896428,CP163888-CP163892
OXEC-133,b414800e-173c-4e35-bc63-ad1861e7b85b,SRR25740813,SRR30896427,CP165553-CP165555
OXEC-134,a9b8c874-3a3f-4166-93ae-2ec9f53b020e,SRR25740603,SRR30896426,CP165546-CP165552
OXEC-135,6a5ef212-0c9a-4f6f-8384-54bde3ef0b5b,SRR25740606,SRR30896425,CP163887
OXEC-136,2dcf5e1a-7cf5-4975-8087-2d9eb36d62af,SRR25740812,SRR30896424,CP163883-CP163886
OXEC-137,f1da25ad-55de-4fc2-a9de-8d7e42c52f39,SRR25740821,SRR30896423,CP163875-CP163882
OXEC-138,2190e4dd-5d2f-4c97-9fed-92607247fd90,SRR25740600,SRR30896422,CP163871-CP163874
OXEC-139,864e44dd-0c85-47a8-8227-28ad127c7997,SRR25740597,SRR30896421,CP163868-CP163870
OXEC-14,6f261171-af48-46f2-8c7e-3f2f52137b6c,SRR25740803,SRR30896430,NA
OXEC-140,d7947cd7-f563-418e-97d0-76c79d44e8e6,SRR25740596,SRR30896420,CP163863-CP163867
OXEC-141,eb723927-3cf1-4633-a352-0be265143842,SRR25740828,SRR30896418,NA
OXEC-142,4bb8e94c-088e-4a42-ae5d-ad33269c2c3e,SRR25740621,SRR30896417,CP163861-CP163862
OXEC-143,9c63d5ae-964a-4dee-9cad-12101aa8914a,SRR25740967,SRR30896416,CP163859-CP163860
OXEC-144,d8950102-a52d-4ba0-bcab-2a531713b94f,SRR25740968,SRR30896415,CP164475-CP164478
OXEC-145,d2a88368-592b-40c1-ad95-7b901358d55a,SRR25740636,SRR30896414,CP164472-CP164474
OXEC-146,2f323715-3e85-403f-8a6e-7eddb06d7539,SRR25740637,SRR30896413,NA
OXEC-147,5cc76a1f-ce1e-4c2c-83c6-953a9355db6f,SRR25740960,SRR30896412,NA
OXEC-148,60e75cf9-7121-4b07-80a6-bba27f8722dd,SRR25740958,SRR30896411,CP164470-CP164471
OXEC-149,aeb9d5e7-a1a8-47eb-aead-822723e612d0,SRR25740972,SRR30896410,CP164465-CP164469
OXEC-15,27d1f6fc-76d4-4f88-9fd6-de1143045af7,SRR25738059,SRR30896419,NA
OXEC-150,337fca7b-e5f4-4ee8-bd3f-5b27cfd99042,SRR25740750,SRR30896409,NA
OXEC-151,8af21f43-db4c-4ff5-8813-35e6054c914b,SRR25740950,SRR30896407,CP164458-CP164464
OXEC-152,484e70d3-8286-4845-9a7d-636e8845cf2b,SRR13991879,SRR30896406,NA
OXEC-153,95fb9406-778a-4841-abae-8b79694f6110,SRR25740687,SRR30896405,NA
OXEC-154,7fafdadd-f73a-448f-94c8-293286fc86f7,SRR25740998,SRR30896404,NA
OXEC-155,8b0d90b0-37eb-4a48-aad1-a67a2087e1d7,SRR25740529,SRR30896403,CP164456-CP164457
OXEC-156,37ce6e04-01b1-4a88-b8e5-d23aeec6c232,SRR25740853,SRR30896402,CP164454-CP164455
OXEC-157,33de56ff-506f-4a39-97d8-da5ed37313f0,SRR25740858,SRR30896401,CP164447-CP164453
OXEC-158,e272a928-270b-42c8-b0ba-3ea8eb1f2397,SRR25740873,SRR30896400,CP164445-CP164446
OXEC-159,5075d8d3-2bc5-4ec7-a6de-0508b328bee8,SRR25740530,SRR30896399,CP164442-CP164444
OXEC-16,2f4b606e-4bcf-4743-86a3-01e2c1b7e3de,SRR25740653,SRR30896408,CP163792-CP163798
OXEC-160,aa2b5d36-aa94-4b6a-9a9f-d1c6efd1b696,SRR25738428,SRR30896398,NA
OXEC-161,970e3b61-3817-4d63-80e0-b0e6f0394132,SRR25738455,SRR30896396,NA
OXEC-162,ff7c9035-24ab-4dcf-a2ef-fa011f7e2304,SRR25738143,SRR30896395,CP164436-CP164441
OXEC-163,b83d7d0e-6123-43af-a74f-cb87e00123ed,SRR25738360,SRR30896394,NA
OXEC-164,ed45f06b-51b4-4028-9922-ca45f6dd5ba0,SRR25738188,SRR30896393,CP164433-CP164435
OXEC-165,42386db1-be8c-4a1f-8ed5-329da18451a3,SRR25740779,SRR30896392,NA
OXEC-166,5c952a1a-acde-46ef-99fb-58c2c4ffbd2f,SRR25740524,SRR30896391,CP164430-CP164432
OXEC-167,f286bf7e-807e-4ddb-919e-e2225d2dfab5,SRR25740536,SRR30896390,CP164427-CP164429
OXEC-168,321ef7fe-5846-4f4d-9318-52ae5b0b143c,SRR25740720,SRR30896389,NA
OXEC-169,95b62742-68c2-49ed-9d32-e6498f16fc70,SRR25740736,SRR30896388,NA
OXEC-17,a4f01ae8-aeee-41ff-8277-095eaf6b0fb7,SRR25740658,SRR30896397,CP163785-CP163791
OXEC-170,d15064ce-5ff7-402d-b41f-9c8c039dac0d,SRR25740594,SRR30896387,CP164416-CP164426
OXEC-171,2e072381-61d9-47b6-8015-326545e7f009,SRR25740759,SRR30896225,NA
OXEC-172,ffae7b9d-7bb6-4b9e-8d66-8c02e009a065,SRR25740995,SRR30896224,NA
OXEC-173,2c5f7d71-bcf0-4ae1-b19d-5c41dbe8b356,SRR25740948,SRR30896223,CP164412-CP164415
OXEC-174,f9eac854-9c4d-4bcc-a56d-f932727b2eaa,SRR25740698,SRR30896222,CP164408-CP164411
OXEC-175,b6567a90-d077-4ded-8e44-22dc2becf752,SRR25738453,SRR30896221,CP164395-CP164407
OXEC-176,6c98be47-4082-49bd-ad74-9b6fb8411987,SRR25738194,SRR30896220,CP164393-CP164394
OXEC-177,de724a92-7521-4b76-9307-8bf969dc6196,SRR25738489,SRR30896219,CP164391-CP164392
OXEC-178,a2883541-cd94-4024-bc3b-26b903faeb07,SRR25738226,SRR30896218,CP164385-CP164390
OXEC-179,e2ccddd5-0322-441e-8b75-7d4d01478494,SRR25740690,SRR30896217,CP164381-CP164384
OXEC-18,3bba80a2-7cf5-4e21-abd9-99b361bd9733,SRR25740517,SRR30896386,CP163782-CP163784
OXEC-180,007d12b9-f903-446a-9d66-184fb751cae9,SRR25738082,SRR30896216,NA
OXEC-181,2e0a5390-0251-4add-ba6b-ecab76fe6f9f,SRR25740469,SRR30896214,CP164377-CP164380
OXEC-182,4d996302-0c00-4240-8a95-52d08c2c64e1,SRR25738386,SRR30896213,CP164372-CP164376
OXEC-183,78586e32-254f-421f-8bc4-5c0337057d7f,SRR25738385,SRR30896212,CP164349-CP164371
OXEC-184,e7d99742-7906-45df-9c9a-bb7152269690,SRR25738132,SRR30896211,NA
OXEC-185,20728cdb-7599-4c20-8aaa-9788572a8d82,SRR25738402,SRR30896210,NA
OXEC-186,54688913-b49e-4e0e-bffc-b7d97dd62ebb,SRR25738147,SRR30896209,CP164347-CP164348
OXEC-187,31a11469-d856-4066-9f78-1577a1c4ae74,SRR25740802,SRR30896208,CP164345-CP164346
OXEC-188,63392671-e015-4c46-bbf7-2d1168d55854,SRR25738425,SRR30896207,CP164343-CP164344
OXEC-189,6fe17ed2-47ba-4013-9119-aaa0215a7816,SRR25738440,SRR30896206,CP164335-CP164342
OXEC-19,ce40052f-a63f-48c9-a3ef-e2a369fb3552,SRR25740790,SRR30896215,CP163780-CP163781
OXEC-190,6bfca6d0-4e35-45ef-8e0f-a8e2e38cf5df,SRR25738432,SRR30896205,CP164330-CP164334
OXEC-191,4b803631-6034-4868-b080-ba36bdd18d33,SRR25738321,SRR30896203,CP164326-CP164329
OXEC-192,c8775c08-c194-4976-8d9c-5b06f5fb92f3,SRR25738308,SRR30896202,CP164324-CP164325
OXEC-193,574849bf-e308-41cd-8cd5-08b013eb3d3a,SRR25738330,SRR30896201,CP164321-CP164323
OXEC-194,67c4fadc-d6b9-4ecf-a7e2-d82667530917,SRR25738331,SRR30896200,CP164312-CP164320
OXEC-195,013cc60d-cf3b-4c62-885b-736339cac567,SRR25740785,SRR30896199,CP164310-CP164311
OXEC-196,68b2d752-a518-4ac7-a55c-2aaf073835fb,SRR25740664,SRR30896198,CP164306-CP164309
OXEC-197,8188e7b8-d1d3-4366-ae03-890e2fb7795e,SRR25740886,SRR30896197,CP164296-CP164305
OXEC-198,77a2a708-26ce-4a8c-aac3-27ae6aec83f1,SRR25740884,SRR30896196,CP164294-CP164295
OXEC-199,39917b72-4e59-442d-9dfb-e7de9d397a24,SRR25740882,SRR30896195,CP164292-CP164293
OXEC-2,bb0b9c32-c038-4f0e-a325-8d0d7b313e01,SRR25738073,SRR30896464,CP163823-CP163824
OXEC-20,d9ad49c9-ddf1-4243-83fc-2aa4b84d6307,SRR25740917,SRR30896204,CP163770-CP163779
OXEC-200,566b9360-c8ba-4f91-89e2-129692825305,SRR25740862,SRR30896194,CP164286-CP164291
OXEC-201,ebfc656c-2e8c-49d7-bbf7-53fb6160c34b,SRR25740854,SRR30896191,CP164283-CP164285
OXEC-202,20b956a0-616b-4b15-b8a8-f8800b7c7a2c,SRR25740851,SRR30896190,CP164275-CP164282
OXEC-203,9c69218e-7b00-459f-add0-153a7d39689f,SRR25740844,SRR30896189,CP165543-CP165545
OXEC-204,0a0c39e3-22b0-433f-aa5c-b16610b8041a,SRR25740843,SRR30896188,CP164270-CP164274
OXEC-205,fa67f16f-159b-4da7-b4e8-250e8cc60292,SRR25740842,SRR30896187,CP164269
OXEC-206,1fec59fa-9760-422d-afb8-0317218e75e7,SRR25741001,SRR30896186,NA
OXEC-207,46c16d11-8042-4ccd-b6fd-f9b0e276c467,SRR25738373,SRR30896185,CP165539-CP165542
OXEC-208,3fbc8a69-fd71-4f76-8790-cfeab97cfe3c,SRR25740770,SRR30896184,CP164266-CP164268
OXEC-209,bc4416a3-9533-4ea7-94f9-dfc812c5603b,SRR25740982,SRR30896183,CP164262-CP164265
OXEC-21,0bd449f2-b6f5-4f3f-bbb8-5784415c6899,SRR25738077,SRR30896192,CP163759-CP163769
OXEC-210,469765cc-9b5e-4ac6-a4ef-a002ef00e2ec,SRR25740986,SRR30896182,NA
OXEC-211,3d136bca-4e5f-4214-a58c-c71620bb3f92,SRR25740762,SRR30896180,CP164250-CP164261
OXEC-212,2c508326-ba04-43b8-9071-7fdb215270c1,SRR25740756,SRR30896179,NA
OXEC-213,5faef3b3-6854-443d-a8ec-682384e640eb,SRR25740976,SRR30896178,CP164244-CP164249
OXEC-214,2094c45a-ad91-4ef9-b423-45c7507869bf,SRR25740949,SRR30896177,CP164234-CP164243
OXEC-215,878b9afc-2cb7-4483-bf8a-60901e75dd5a,SRR25740964,SRR30896176,CP165526-CP165538
OXEC-216,a0f077e1-0a70-45ce-b2c4-d99a0f948ab8,SRR25740953,SRR30896175,CP164232-CP164233
OXEC-217,0efc7b1e-fdd3-4c54-83b3-8acfe49c67f4,SRR25740629,SRR30896174,CP164219-CP164231
OXEC-218,9471d3b9-00a5-4969-bfe9-e6cd2b4c99a6,SRR25740832,SRR30896173,NA
OXEC-219,52d46abb-ad60-4f04-9b70-a03b057d258f,SRR25740682,SRR30896172,CP164214-CP164218
OXEC-22,6e7cf15c-7591-441c-8465-aeda3e4dc8b0,SRR25738451,SRR30896181,CP163757-CP163758
OXEC-220,1f850b95-0ae7-42c3-af06-9b1131690dde,SRR25740822,SRR30896171,CP164210-CP164213
OXEC-221,932d67a9-fa3f-4f5d-ae00-623e4975ad5a,SRR25740585,SRR30896169,NA
OXEC-222,dcffa450-bf61-4b7a-8427-40f7f0972c38,SRR25740681,SRR30896168,CP164207-CP164209
OXEC-223,becf0bd5-65c8-4ff6-8cbd-9c415d10b7f6,SRR25740938,SRR30896167,CP164204-CP164206
OXEC-224,daf15d7d-69cb-4963-8abc-1bd359c56145,SRR25740731,SRR30896166,CP165520-CP165525
OXEC-225,441009de-af98-43f6-9933-982b7e45813c,SRR25740730,SRR30896165,CP164199-CP164203
OXEC-226,74faaba2-f86c-4787-a63b-7b352b39ac0b,SRR25740560,SRR30896164,NA
OXEC-227,251b4e7b-8938-4530-bd5e-98404fe1a576,SRR25740721,SRR30896163,CP164197-CP164198
OXEC-228,a0f9a23e-c83e-4acc-ae06-d48a462dcaf0,SRR25740702,SRR30896162,NA
OXEC-229,4b2a711f-7c26-4839-8590-6c0e4f722ac1,SRR25740551,SRR30896161,CP164195-CP164196
OXEC-23,55163f90-c3a7-497c-86cc-eca1fa4d164d,SRR25740920,SRR30896170,CP163750-CP163756
OXEC-230,e220d87c-c42f-4801-9f5e-3329d465e3c7,SRR25740541,SRR30896160,CP165596-CP165598
OXEC-231,09ce3660-d309-41a5-bd7f-24f9bf45915e,SRR25740539,SRR30896158,CP165515-CP165519
OXEC-232,17f8eda0-e9fb-4662-ba09-3ab7f7b65c61,SRR25740538,SRR30896157,NA
OXEC-233,19b59042-86cc-4971-92ba-2cb3cc14d75f,SRR25740537,SRR30896156,CP165180-CP165182
OXEC-234,1b55ac76-f4fa-4612-b00d-c91d9427faf0,SRR25738482,SRR30896155,NA
OXEC-235,58af8ebb-e11a-40e1-a251-9c5708e7c4ed,SRR25740628,SRR30896154,NA
OXEC-236,d215be5f-7cf4-403d-b4c5-652959a87eb7,SRR25740735,SRR30896153,CP165176-CP165179
OXEC-237,61c5beb1-e6f7-4924-9656-02dca2e3f706,SRR25738347,SRR30896152,CP165171-CP165175
OXEC-238,9cc59b58-c306-4213-9b4d-18f6fa19dfab,SRR25738145,SRR30896151,CP165167-CP165170
OXEC-239,d2a03bcf-37ff-4875-a77f-8347bf25a870,SRR25738166,SRR30896150,CP165159-CP165166
OXEC-24,b2761493-7bc2-457e-8620-a9ce6b7f7f5f,SRR25740919,SRR30896159,CP163747-CP163749
OXEC-240,d56fbd30-fb14-428b-990a-6e607749136b,SRR25738309,SRR30896149,CP165156-CP165158
OXEC-241,c14c0f32-2c63-4822-89a0-e913cb027c64,SRR25738422,SRR30896147,CP165153-CP165155
OXEC-242,c1ad04bd-b403-4c29-aabe-3ab997316381,SRR25738393,SRR30896146,CP165150-CP165152
OXEC-243,430f2bd4-b37d-4f25-b9c2-baf9e47f4574,SRR25738390,SRR30896105,CP165148-CP165149
OXEC-244,d7aa11b4-d0b1-4281-bde7-333b7dc1b294,SRR25738388,SRR30896104,CP165142-CP165147
OXEC-245,1d9542b2-cf4a-4d6e-9851-ed7dd38d0126,SRR25738122,SRR30896103,CP165138-CP165141
OXEC-246,2affa3a9-2768-4361-b279-9cb14f2c1822,SRR25738114,SRR30896102,CP165131-CP165137
OXEC-247,5a45cb93-428a-4eb2-a726-166000de110c,SRR25738113,SRR30896101,CP165123-CP165130
OXEC-248,38eb91d0-ac20-401b-b3a0-9c1234692e0c,SRR25738111,SRR30896100,CP165118-CP165122
OXEC-249,7812b572-3370-4342-b8a8-eab3383b6f39,SRR25738339,SRR30896099,NA
OXEC-25,d60d52fd-1c93-416f-97d1-04de2216d2bc,SRR25740890,SRR30896148,CP163744-CP163746
OXEC-250,64bff16e-e269-44a5-b318-94f724d548bc,SRR25738536,SRR30896098,CP165113-CP165117
OXEC-251,65a15634-d28c-43dd-96fa-b870c0aaeaf2,SRR25738295,SRR30896096,CP165109-CP165112
OXEC-252,fb36a4a3-f96c-42e6-865b-a6c24ccd933a,SRR25738285,SRR30896095,CP165103-CP165108
OXEC-253,7b9a5796-4ff9-4cf3-85e6-4ee32a9c142b,SRR25738109,SRR30896094,CP165100-CP165102
OXEC-254,4692afca-531f-4446-9867-db5b7e488ece,SRR25738524,SRR30896093,NA
OXEC-255,c6fe6ca7-1e21-48d0-abe0-03d1a0051018,SRR25738248,SRR30896092,CP165096-CP165099
OXEC-256,5bb714fc-c599-4f7e-9f2f-e981aa4af658,SRR25738496,SRR30896091,CP165094-CP165095
OXEC-257,65380db0-9a7f-4631-846f-b95a2b2a7e7f,SRR25738493,SRR30896090,CP165090-CP165093
OXEC-258,fb9250c9-56a0-4467-b7ba-416ceac9b81a,SRR25738476,SRR30896089,NA
OXEC-259,70100926-e514-4a93-b45d-a1290216bc84,SRR25740776,SRR30896088,CP165076-CP165089
OXEC-26,76d9ddbd-c141-43d6-8493-de5bab1df2ab,SRR25740693,SRR30896097,CP163742-CP163743
OXEC-260,67a8477b-14d4-4d6e-b1a8-c26ee15e7fc8,SRR25740794,SRR30896087,CP165072-CP165075
OXEC-261,5a6686ff-b54a-4e3e-9fd3-0dbc777c027e,SRR25740747,SRR30896085,CP165067-CP165071
OXEC-262,ae027ff7-0c96-4498-8c7f-dab8f5870c90,SRR25740725,SRR30896084,CP165060-CP165066
OXEC-263,d0a7d503-b2f7-4aad-8c69-c08b2037a336,SRR25740448,SRR30896083,CP165056-CP165059
OXEC-264,e1c80e7d-78e1-441b-aee1-b909bbf27de6,SRR13991590,SRR30896082,CP165051-CP165055
OXEC-265,7690bde1-98f5-4b9c-9217-0b8debe881f9,SRR13993411,SRR30896081,CP165045-CP165050
OXEC-266,fca052e7-4376-4f21-b79d-cc4f42c541fa,SRR13992247,SRR30896080,CP165037-CP165044
OXEC-267,70c98da0-db39-4b87-ab6b-fe6344daa8a5,SRR25740509,SRR30896079,CP165035-CP165036
OXEC-268,7d86349c-7bac-4515-936f-fc68a016e621,SRR13991786,SRR30896078,CP165028-CP165034
OXEC-269,72bbcdd0-8224-4c2f-a788-92d48bf569f5,SRR13993473,SRR30896077,NA
OXEC-27,3d5bc63a-8c51-4291-9986-5ef545fa874b,SRR25738197,SRR30896086,CP163729-CP163741
OXEC-270,58642895-a89d-45ba-994e-4cfdc65549bd,SRR13992131,SRR30896076,CP165025-CP165027
OXEC-271,086d7751-ee8e-47d6-b391-3de69de8ccea,SRR25740872,SRR30896074,NA
OXEC-272,17a333bf-81af-42f3-9220-30e63bd3d6c9,SRR13992776,SRR30896073,CP165021-CP165024
OXEC-273,f1344f4f-6909-47ab-b49f-7564f140528a,SRR13993766,SRR30896072,CP165013-CP165020
OXEC-274,e4b15fbd-4fc7-462d-a257-16a58696480d,SRR13992605,SRR30896071,CP165010-CP165012
OXEC-275,e05ea781-9257-4f57-a362-13693a57757c,SRR13991598,SRR30896070,CP165004-CP165009
OXEC-276,06a6f7ac-e10b-4ce1-af6f-8635946e00c5,SRR13991993,SRR30896069,CP164999-CP165003
OXEC-277,0d95fe0c-8b34-4d43-b5fa-5245fcb3ebd3,SRR25740981,SRR30896068,CP164995-CP164998
OXEC-278,1cde82fa-5fa6-42c6-9819-75b87636f6fe,SRR13993562,SRR30896067,NA
OXEC-279,5e6d332e-2c0b-4ff7-923a-e6272f22e4e7,SRR13991930,SRR30896066,CP164993-CP164994
OXEC-28,72fc03ce-dddc-4d96-b569-cbe236b7f5df,SRR25738201,SRR30896075,CP163726-CP163728
OXEC-280,67b188c5-3087-4967-aadd-54960c2c8b08,SRR13991755,SRR30896385,CP164979-CP164992
OXEC-281,a4425be5-448f-4149-bc50-5b2f802090c8,SRR13993681,SRR30896383,CP164977-CP164978
OXEC-282,ef92ffcc-47a1-4640-9d0e-195e06fe9d74,SRR13993810,SRR30896382,CP164971-CP164976
OXEC-283,b6b06466-9130-4a78-a1f0-9b1c00ec7030,SRR13993552,SRR30896381,CP164948-CP164970
OXEC-284,b8e9db7a-425e-4fb1-90be-a60563124352,SRR13993530,SRR30896380,CP164942-CP164947
OXEC-285,5d43eae9-0fda-4a7b-bd23-0133516b8bb8,SRR13991940,SRR30896379,CP164925-CP164941
OXEC-286,9f55645a-1de4-4a3c-8701-791c3f3672d0,SRR13993622,SRR30896378,CP164922-CP164924
OXEC-287,7c749bf3-ddfc-4893-9968-304b2ccf801d,SRR13991796,SRR30896377,CP164920-CP164921
OXEC-288,a5643d8f-4b1a-41a2-ad6f-e89dca7ccce4,SRR13993668,SRR30896376,CP164917-CP164919
OXEC-289,dc56b61b-24e1-49fe-8631-e1db338524f6,SRR13992371,SRR30896375,NA
OXEC-29,625e939e-1179-44fa-a02f-ffd3f640154e,SRR25738206,SRR30896384,CP163720-CP163725
OXEC-290,9e92242d-5424-4445-8f78-accb5b077c4a,SRR13993775,SRR30896374,NA
OXEC-291,08cc2f3d-d935-4520-9588-bcedfb3366f2,SRR13991978,SRR30896372,NA
OXEC-292,97c0a455-0a37-402f-9569-5b4238df2e0b,SRR13993794,SRR30896371,CP165513-CP165514
OXEC-293,f979b288-f228-463b-99ad-4d4457292f30,SRR13992020,SRR30896370,CP165507-CP165512
OXEC-294,68eaf1a7-945f-466d-989b-b6fa6733564c,SRR13992868,SRR30896369,CP164913-CP164916
OXEC-295,75c54b76-2c8d-40e6-8240-15bfe8741000,SRR13993448,SRR30896368,CP164910-CP164912
OXEC-296,9688a48d-3190-44b5-bc87-389e5842496b,SRR13993832,SRR30896367,CP164908-CP164909
OXEC-297,ad89ba91-9d15-4874-9f1f-492bc692b4c1,SRR13992925,SRR30896366,CP165505-CP165506
OXEC-298,93dded17-8ae9-461a-9380-1c66258b5dcc,SRR13992176,SRR30896365,CP165497-CP165504
OXEC-299,1c9f6ed1-20ab-4c35-9c8c-dab6c3e5ba7c,SRR13993746,SRR30896364,CP164905-CP164907
OXEC-3,44858c68-5073-458c-a5d4-d4e59a0913bf,SRR25738167,SRR30896193,CP165583-CP165586
OXEC-30,f5b8dc46-aff1-4a99-996f-093c774e6cb4,SRR25738205,SRR30896373,CP163714-CP163719
OXEC-300,d25f5879-d393-48dd-b5d8-5e1f3905cd7f,SRR13992548,SRR30896363,NA
OXEC-301,bfeb0a98-3879-495e-83aa-5b8057c9f9e6,SRR13993514,SRR30896360,CP164902-CP164904
OXEC-302,744e3fe8-16a6-44ff-b324-06111d77296a,SRR13992568,SRR30896359,CP164897-CP164901
OXEC-303,5072bb44-7fd8-450f-b540-a2030351d4eb,SRR13993797,SRR30896358,NA
OXEC-304,9d4c36aa-b8df-4b1e-9221-22e5d966d553,SRR13993816,SRR30896357,NA
OXEC-305,ecf8e81f-0600-42f9-830a-e3d72f2d655a,SRR13992461,SRR30896356,CP164893-CP164896
OXEC-306,9f7925ce-c1a5-4146-bfd2-25d08d7aebef,SRR13993618,SRR30896355,NA
OXEC-307,a2f1eda4-d4a9-41d6-8850-e71ed573b50a,SRR13993688,SRR30896354,CP164888-CP164892
OXEC-308,14ca074a-80e2-4491-84fa-74ee2c670315,SRR13993881,SRR30896353,NA
OXEC-309,61f86d54-4a03-4df5-9d19-a50d8635f3d0,SRR13992986,SRR30896352,NA
OXEC-31,34c13f56-0b63-4f08-b490-c3f24614e4e5,SRR25738207,SRR30896361,CP163712-CP163713
OXEC-310,17084f17-eede-4adc-a691-5446b4e459f5,SRR13992811,SRR30896351,CP164886-CP164887
OXEC-311,266d8747-6f21-4e8d-80dd-0f0ab71537c0,SRR13993721,SRR30896349,CP164881-CP164885
OXEC-312,992f4efb-9b73-4349-96ea-0d6519f8a561,SRR13993779,SRR30896348,CP164878-CP164880
OXEC-313,269b2d27-fe11-4411-99ae-ccf3e704c3f2,SRR13993720,SRR30896347,CP164876-CP164877
OXEC-314,fff2b139-4529-40d2-b02a-2eae3f377b1d,SRR13992233,SRR30896346,CP164873-CP164875
OXEC-315,65aa82e6-35d3-414b-aff3-92b68515afc0,SRR13991771,SRR30896545,CP164866-CP164872
OXEC-316,8c3ee6e7-e570-484b-926c-269c15336fce,SRR13992281,SRR30896544,CP164864-CP164865
OXEC-317,8dec9287-f974-4397-af3a-e2b1dfa15959,SRR25738350,SRR30896543,CP164859-CP164863
OXEC-318,f3fcd3e4-efb5-4c2c-8eb4-c13278ed7d19,SRR13993283,SRR30896542,CP164849-CP164858
OXEC-319,7a67b1a9-42e8-4cb4-9c5e-24d850009e40,SRR13992434,SRR30896541,NA
